# Program:featureCounts v2.0.8; Command:"featureCounts" "-p" "-T" "5" "--countReadPairs" "-t" "exon" "-g" "Parent" "-a" "strongyloides_stercoralis.PRJEB528.WBPS19.annotations.gff3" "-o" "counts.txt" "ERR146941" "ERR146942" "ERR146943" "ERR146944" "ERR146945" "ERR146946" "ERR146947" "ERR146948" "ERR146949" "ERR146950" "ERR146951" "ERR146952" "ERR146953" "ERR146954" "ERR146955" "ERR146956" "ERR146957" "ERR146958" "ERR146959" "ERR146960" "ERR146961" 
Geneid	Chr	Start	End	Strand	Length	ERR146941	ERR146942	ERR146943	ERR146944	ERR146945	ERR146946	ERR146947	ERR146948	ERR146949	ERR146950	ERR146951	ERR146952	ERR146953	ERR146954	ERR146955	ERR146956	ERR146957	ERR146958	ERR146959	ERR146960	ERR146961
SSTP_0000075200.1	SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001	31860;32194;32705	32144;32663;32714	+;+;+	765	2692	2401	2485	1887	1740	1784	762	1207	1018	891	1196	1323	1482	1227	1166	1021	970	1105	1793	1785	1924
SSTP_0000075300.1	SSTP_scaffold0000001	32961	33269	-	309	391	349	356	299	276	309	59	75	132	173	248	261	335	261	246	256	214	226	278	236	270
SSTP_0000075400.1	SSTP_scaffold0000001;SSTP_scaffold0000001	33839;34116	34071;34227	-;-	345	755	568	616	635	504	594	129	156	267	316	343	401	496	443	397	337	314	366	789	761	794
SSTP_0000075500.1	SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001	35324;35421;36231	35374;35707;36615	+;+;+	723	6041	5345	6192	4606	4115	4354	1514	2398	3365	4118	4922	5157	9086	5485	5366	2511	2600	2507	2669	2537	2414
SSTP_0000075600.1	SSTP_scaffold0000001;SSTP_scaffold0000001	38117;38293	38144;40031	+;+	1767	13104	11506	11269	13546	12382	12953	8023	6441	7567	12902	12451	14656	10347	10485	10437	7067	6475	7496	9277	8951	9474
SSTP_0000075700.1	SSTP_scaffold0000001	41029	42654	+	1626	97	63	61	28	31	27	3	1	4	7	12	5	28	27	34	161	92	125	274	239	303
SSTP_0000075800.1	SSTP_scaffold0000001;SSTP_scaffold0000001	42677;44065	44021;44258	-;-	1539	1555	1572	1607	470	449	475	164	146	218	555	621	681	699	548	715	595	532	694	1107	1046	1149
SSTP_0000075900.1	SSTP_scaffold0000001;SSTP_scaffold0000001	44389;44470	44428;44642	+;+	213	725	652	665	279	237	235	63	76	98	250	297	285	263	252	296	204	193	227	292	261	382
SSTP_0000076000.1	SSTP_scaffold0000001	44677	45189	-	513	709	633	642	184	189	194	150	80	125	410	577	614	1221	712	578	511	382	541	262	273	304
SSTP_0000076100.1	SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001	45234;45328;46017;46827;46891;47048	45275;45978;46188;46846;47008;47058	-;-;-;-;-;-	1014	690	693	643	76	92	94	280	110	130	700	1266	1276	2765	1496	1037	1099	735	1237	230	231	246
SSTP_0000076200.1	SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001	47306;47442;47986;49486	47392;47937;49431;49667	+;+;+;+	2211	8902	9066	8721	574	596	538	293	264	335	2241	3345	3076	5945	5779	7152	5129	4156	5413	2920	3141	2995
SSTP_0000076300.1	SSTP_scaffold0000001	54223	55824	+	1602	84	94	80	759	622	680	263	278	330	389	436	412	280	268	224	180	215	173	81	71	84
SSTP_0000076400.1	SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001	56198;57050;57172	56973;57115;57256	-;-;-	927	57149	52975	49756	20625	19176	20191	18185	8748	7628	57224	62331	72880	56507	45239	45161	37681	41557	44989	23916	23294	24908
SSTP_0000076500.1	SSTP_scaffold0000001;SSTP_scaffold0000001	62147;62302	62240;62732	+;+	525	880	1199	1042	19412	16553	17024	17141	23273	21003	7889	7122	6930	5495	6023	4893	2539	2484	2434	777	727	810
SSTP_0000076600.1	SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001	65598;65981;66634	65645;66580;67332	+;+;+	1347	17625	18051	17623	19920	18619	18790	7554	9232	10013	18941	20455	20890	29424	24465	24883	11450	10583	12099	12796	12748	12519
SSTP_0000076700.1	SSTP_scaffold0000001	68707	69726	-	1020	30	25	38	37	42	26	17	12	15	18	6	13	80	64	84	103	57	79	28	27	19
SSTP_0000076800.1	SSTP_scaffold0000001;SSTP_scaffold0000001	71365;72609	72566;73011	+;+	1605	425	374	440	2560	1969	2485	1008	1176	1443	365	239	283	299	313	265	239	286	247	919	893	1055
SSTP_0000076900.1	SSTP_scaffold0000001	77936	79483	+	1548	12703	13504	12771	12534	11737	12670	8189	7671	8400	4871	5033	5754	5751	5179	5635	3767	3138	3605	8308	8124	8832
SSTP_0000077000.1	SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001	79890;80057;80182;80253	80006;80140;80210;81879	+;+;+;+	1857	10324	10982	10184	12035	10991	11589	6638	6374	7040	5720	8281	9943	13242	10035	10474	5078	4420	5693	6607	6903	7341
SSTP_0000077100.1	SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001	88991;89979;93006	89236;90505;93855	+;+;+	1623	525	445	666	5443	4457	4741	1917	3149	4456	3428	3277	3364	2447	2334	2501	490	597	557	107	101	105
SSTP_0000077200.1	SSTP_scaffold0000001;SSTP_scaffold0000001	99123;99443	99347;99610	+;+	393	1	1	3	288	220	273	75	136	136	23	21	30	6	14	17	2	5	3	1	0	1
SSTP_0000077300.1	SSTP_scaffold0000001;SSTP_scaffold0000001	100444;100973	100881;101191	+;+	657	50	43	59	204	169	166	6	1	1	779	166	486	31	539	434	196	617	78	25	23	20
SSTP_0000077400.1	SSTP_scaffold0000001;SSTP_scaffold0000001	102050;105015	102277;105080	-;-	294	27	25	39	177	193	212	69	71	42	117	102	82	61	50	69	29	28	32	65	68	54
SSTP_0000077500.1	SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001	114144;114978;115684	114803;115466;116232	+;+;+	1698	2028	2603	2243	21783	21830	21617	6581	4526	5595	9493	9285	9951	8803	10655	8433	2996	3554	3064	3049	3009	3222
SSTP_0000077600.1	SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001	116599;116826;118747;119524	116655;118691;119169;119529	-;-;-;-	2352	384	348	382	1256	1260	1229	1199	957	882	1593	998	1222	908	868	909	373	351	326	514	485	539
SSTP_0000077700.1	SSTP_scaffold0000001;SSTP_scaffold0000001	121675;121843	121789;122477	+;+	750	6730	8224	8021	6118	5814	6772	6185	3042	3940	17712	17110	18118	17038	12265	11730	10719	9734	9983	1356	1465	1253
SSTP_0000077800.1	SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001	123368;123477;123765	123430;123648;125482	-;-;-	1953	342	285	331	376	347	400	514	208	219	643	382	489	329	303	405	225	154	155	392	390	387
SSTP_0000077900.1	SSTP_scaffold0000001;SSTP_scaffold0000001	126267;126399	126345;126532	-;-	213	4018	3133	3146	5134	4431	4555	2591	2950	2759	3337	3978	4713	2888	2462	2530	2238	2313	2460	2477	2373	2329
SSTP_0000078000.1	SSTP_scaffold0000001;SSTP_scaffold0000001	126817;128102	128050;128412	-;-	1545	396	500	806	2469	2595	2765	8824	13188	6336	2105	1794	1969	1881	1517	2054	733	955	797	724	797	801
SSTP_0000078100.1	SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001	129704;129855;130311;132796	129805;130265;132748;132856	-;-;-;-	3012	3838	3986	4208	1873	1915	1822	503	692	442	812	893	1048	1413	1186	1374	1109	835	1184	3598	3355	3679
SSTP_0000078200.1	SSTP_scaffold0000001	133616	134443	-	828	8	25	19	987	1066	1095	73	71	83	73	72	73	107	70	79	46	37	58	16	14	12
SSTP_0000078300.1	SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001	135437;135685;136048;136310	135539;135977;136260;136627	-;-;-;-	927	846	785	949	5412	5639	5183	2437	924	1232	3516	2860	3279	3891	4562	5334	1843	1995	1897	214	226	231
SSTP_0000078400.1	SSTP_scaffold0000001;SSTP_scaffold0000001	137449;137638	137592;139065	+;+	1572	204	149	145	413	343	362	257	120	183	316	213	230	316	482	373	163	204	126	15	10	15
SSTP_0000078500.1	SSTP_scaffold0000001;SSTP_scaffold0000001	139517;139733	139675;140119	+;+	546	508	462	444	1073	994	991	591	335	288	645	556	669	703	529	644	542	453	502	383	321	328
SSTP_0000078600.1	SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001	141891;142171;142410;142551;143596;144704	142112;142366;142505;143426;143733;144762	-;-;-;-;-;-	1587	355	476	321	2362	2537	2767	2841	1621	1596	2635	2251	2728	2383	2165	1816	1082	1278	1057	83	65	93
SSTP_0000078700.1	SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001	148430;154088;159540;159812	148479;154534;159735;160108	+;+;+;+	990	222	320	294	2883	2561	2694	1980	1727	1739	2421	2276	2188	1537	1388	1505	614	597	599	147	148	137
SSTP_0000078800.1	SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001	162645;162758;163059	162710;162999;163524	+;+;+	774	2005	1918	1839	1756	1578	1703	1151	1343	1277	1028	1193	1253	1809	1785	1858	1627	1308	1636	862	818	804
SSTP_0000078900.1	SSTP_scaffold0000001	165795	166262	+	468	634	673	656	446	434	405	106	132	155	219	269	322	402	391	351	317	299	332	720	721	854
SSTP_0000079000.1	SSTP_scaffold0000001	166447	168303	+	1857	3421	3620	3522	1578	1442	1529	355	475	537	732	1013	1027	1740	1500	1491	1187	959	1162	2306	2282	2740
SSTP_0000079100.1	SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001	168469;168637;169639;169757	168597;169471;169713;170313	+;+;+;+	1596	3124	3252	3124	1238	1167	1247	484	899	751	1516	1749	1671	1808	1838	1694	1561	1397	1620	1926	2030	2236
SSTP_0000079200.1	SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001	170465;170754;173923	170704;173873;174324	-;-;-	3762	5249	4752	5018	1974	1687	1999	808	1219	1226	835	1034	1067	1222	1054	1236	1813	1141	1606	8189	7764	8531
SSTP_0000079300.1	SSTP_scaffold0000001;SSTP_scaffold0000001	179901;181200	180090;182881	+;+	1872	866	893	822	541	528	637	366	26	24	1524	1587	1565	1927	1516	1472	1632	1277	1631	2169	2288	2368
SSTP_0000079400.1	SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001	185621;185792;187080;187319	185728;186987;187274;187757	+;+;+;+	1938	8107	7736	7949	9886	8288	9776	2559	2160	2429	4558	5460	5791	5993	4850	5304	3034	2802	3459	4513	4295	4794
SSTP_0000079500.1	SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001	188422;189858;190386	189810;190334;190493	-;-;-	1974	4353	3255	3802	285	319	320	36	27	15	466	704	632	1099	795	1069	525	456	514	1984	1955	2121
SSTP_0000079700.1	SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001	194878;195095;195377;196156;196497;196757;197345	194986;195335;195509;196356;196711;197117;197566	-;-;-;-;-;-;-	1482	979	874	1052	269	291	299	318	199	162	1017	818	1107	783	1231	2096	810	678	862	1668	1613	1951
SSTP_0000079800.1	SSTP_scaffold0000001	198509	199126	+	618	2026	1776	1628	1126	950	1098	157	193	268	797	1054	1237	1688	1478	1693	1282	1123	1404	2022	1929	1970
SSTP_0000079900.1	SSTP_scaffold0000001;SSTP_scaffold0000001	200038;200258	200199;201001	+;+	906	91	56	45	55	52	45	1205	195	234	424860	256352	359563	144807	360616	658364	201172	194784	161613	37	44	32
SSTP_0000080000.1	SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001	201995;202191;203553	202135;203506;205032	+;+;+	2937	3922	3193	3768	2447	2061	2084	476	671	1002	1234	1602	1765	1981	1980	2060	1468	1171	1514	3749	3662	3812
SSTP_0000080100.1	SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001	205249;205640;205789	205572;205744;206583	+;+;+	1224	2306	1864	1969	821	874	860	492	275	386	797	1064	1204	917	882	903	814	849	1027	1165	1212	1328
SSTP_0000080200.1	SSTP_scaffold0000001;SSTP_scaffold0000001	206627;207240	207192;207360	-;-	687	628	749	800	391	376	310	63	102	93	274	330	432	432	433	459	361	348	401	487	575	640
SSTP_0000080300.1	SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001	207823;207936;208314	207887;208263;208769	+;+;+	849	9380	10200	9944	41	27	27	62	26	44	27	81	69	62	28	40	245	78	175	4706	4692	5202
SSTP_0000080400.1	SSTP_scaffold0000001	209291	210034	-	744	4	2	7	0	2	0	9	1	1	47	38	49	18	20	26	99	59	119	1	2	2
SSTP_0000080500.1	SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001	210798;211212;211772;211968	211148;211724;211909;212216	+;+;+;+	1251	32	25	25	8	5	3	99	7	19	810	1005	1241	1385	1297	1934	415	422	583	5	1	9
SSTP_0000080600.1	SSTP_scaffold0000001;SSTP_scaffold0000001	212669;213850	213789;214006	-;-	1278	106	148	140	75	89	98	958	109	121	6139	8136	10769	12171	14620	20976	4254	4207	5257	8	8	9
SSTP_0000080650.1	SSTP_scaffold0000001	214025	214336	-	312	11	12	11	9	10	18	103	6	4	763	767	1142	1503	1704	2301	470	425	542	2	1	0
SSTP_0000080700.1	SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001	219555;219791;220444	219636;220396;220862	+;+;+	1107	4393	6036	5219	89235	82861	85045	58023	73053	74135	28836	25824	27263	23302	23233	23292	8988	9330	9418	4374	4544	4437
SSTP_0000080800.1	SSTP_scaffold0000001;SSTP_scaffold0000001	221796;222133	222035;222393	+;+	501	193	156	152	356	314	334	276	408	466	62	79	79	138	94	88	81	81	84	230	204	191
SSTP_0000080900.1	SSTP_scaffold0000001;SSTP_scaffold0000001	222585;225913	225872;226002	-;-	3378	15629	13121	14223	4207	3746	4031	1129	1286	1546	2855	4084	4476	7889	6438	5908	4742	3977	5439	11631	11288	12391
SSTP_0000081000.1	SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001	227524;227745;228198;228380;228780	227708;228137;228329;228591;229060	+;+;+;+;+	1203	53	65	73	67	56	69	307	241	259	743	764	831	1087	1018	1516	331	339	345	75	75	56
SSTP_0000081100.1	SSTP_scaffold0000001;SSTP_scaffold0000001	230912;231270	231232;231704	+;+	756	3	3	2	11	6	1	2	4	8	0	0	0	1	0	0	1	0	4	3	4	2
SSTP_0000081200.1	SSTP_scaffold0000001;SSTP_scaffold0000001	233270;233557	233509;233988	+;+	672	6	6	5	2	2	8	0	2	1	1	3	2	4	2	6	5	5	6	1	0	0
SSTP_0000081300.1	SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001	234179;234565;234968;235910	234516;234925;235851;235997	-;-;-;-	1671	198	257	216	1694	1835	1738	418	394	581	843	775	858	575	902	1072	497	392	383	168	178	196
SSTP_0000081400.1	SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001	239823;240008;240132	239948;240084;241002	+;+;+	1074	4313	4008	3702	2372	2173	2091	526	865	1079	1253	1717	1756	3934	3594	2933	3614	2783	3336	3249	3060	3148
SSTP_0000081500.1	SSTP_scaffold0000001	241363	241860	+	498	994	914	875	863	774	808	228	334	444	543	606	716	911	789	720	524	444	554	807	749	770
SSTP_0000081600.1	SSTP_scaffold0000001;SSTP_scaffold0000001	241935;242919	242864;243149	-;-	1161	1777	1614	1630	918	849	946	540	476	500	1174	1268	1319	1535	1275	1269	1079	948	1194	1357	1314	1294
SSTP_0000081700.1	SSTP_scaffold0000001	243383	243787	-	405	1585	1352	1600	697	604	690	502	428	590	890	924	895	903	745	790	837	637	1039	867	743	727
SSTP_0000081800.1	SSTP_scaffold0000001;SSTP_scaffold0000001	244344;244621	244567;244648	-;-	252	915	897	833	1068	841	896	194	251	275	607	627	687	780	684	634	746	627	871	510	521	529
SSTP_0000081900.1	SSTP_scaffold0000001;SSTP_scaffold0000001	244947;245125	245048;246561	+;+	1539	3825	2772	3075	817	826	823	465	376	293	1295	1819	1682	1762	1545	1481	1516	1254	1696	2499	2477	2630
SSTP_0000082000.1	SSTP_scaffold0000001;SSTP_scaffold0000001	246842;247027	246979;248172	-;-	1284	67	75	129	478	380	485	1125	1464	1030	1696	1105	1318	768	619	568	407	305	434	84	62	60
SSTP_0000082100.1	SSTP_scaffold0000001	248913	250622	-	1710	2751	2862	2596	4774	4303	4124	2796	2424	2387	11223	10728	10783	6453	5863	5919	2516	2356	2631	1462	1383	1544
SSTP_0000082200.1	SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001	256180;256662;256919	256597;256697;256962	+;+;+	498	10	23	21	155	171	157	252	358	477	22	27	20	24	18	21	18	7	16	7	13	6
SSTP_0000082300.1	SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001	258172;258351;258487;258676;260822	258228;258443;258621;260770;260841	+;+;+;+;+	2400	35234	35091	35887	4257	4027	4279	1560	1450	1801	1722	2317	2488	2814	2552	2600	3358	2477	3267	23497	22553	24243
SSTP_0000082400.1	SSTP_scaffold0000001	263379	264827	+	1449	3131	3886	3150	1937	1402	1603	1076	417	591	3561	5218	5597	4459	3507	2999	2802	2586	3672	1256	1181	781
SSTP_0000082500.1	SSTP_scaffold0000001;SSTP_scaffold0000001	265101;268343	267480;268461	-;-	2499	19670	22891	21711	6161	5779	6039	6730	4737	4536	10978	9610	10730	11847	10460	10741	7319	7328	7609	9636	10325	11605
SSTP_0000082600.1	SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001	270431;270778;271364	270729;271256;271374	-;-;-	789	17341	16404	15735	7202	6661	7115	3880	3450	3282	5721	7048	8809	11042	8709	9336	6764	6038	7317	9055	9189	9845
SSTP_0000082700.1	SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001	272378;272583;273614;274399	272546;272743;274351;275289	+;+;+;+	1959	8629	7917	8338	8337	7575	7649	7661	12964	7511	6763	8185	8768	6746	5625	6244	5423	4827	6318	8087	7893	8342
SSTP_0000082800.1	SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001	275467;275978;276409	275922;276035;276428	-;-;-	534	15	17	9	644	579	481	598	203	241	544	494	573	493	376	375	96	102	91	6	5	5
SSTP_0000082900.1	SSTP_scaffold0000001	277302	278255	-	954	30	39	31	245	280	279	22	22	26	103	75	111	136	74	57	55	45	69	17	11	20
SSTP_0000083000.1	SSTP_scaffold0000001;SSTP_scaffold0000001	279802;280104	280062;281114	+;+	1272	3293	3717	3569	3429	3244	3289	1713	1778	1749	2877	3497	3748	3841	3334	3736	2030	1798	2016	2526	2757	2733
SSTP_0000083100.1	SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001	281363;282278;282500;283264;284491;285520;285858	282202;282448;283203;283522;285450;285635;286035	-;-;-;-;-;-;-	3228	6082	5882	5610	16969	14924	16354	14856	15076	15462	5683	5665	6255	4863	5938	5958	2913	2874	2824	7251	7081	7703
SSTP_0000083200.1	SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001	289207;289453;290280	289407;290226;290561	-;-;-	1257	246	289	222	3298	2830	3031	1266	1170	1477	532	561	620	696	603	302	250	233	296	120	113	108
SSTP_0000083300.1	SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001	293464;294015;294437	293875;294372;294569	+;+;+	903	181	216	171	1090	823	1051	116	122	94	148	207	211	139	87	94	160	139	169	31	27	32
SSTP_0000083400.1	SSTP_scaffold0000001	294705	295517	-	813	1584	1367	1392	1174	1272	1282	427	336	499	1042	1100	1250	1288	1028	1109	805	750	860	970	961	899
SSTP_0000083500.1	SSTP_scaffold0000001;SSTP_scaffold0000001	295664;296947	296896;297042	-;-	1329	1757	1298	1402	1630	1596	1656	340	293	457	682	782	870	920	858	881	710	630	690	1277	1212	1187
SSTP_0000083600.1	SSTP_scaffold0000001	298773	299699	-	927	33	73	48	265	262	269	145	121	128	51	39	44	85	51	48	164	88	111	23	49	37
SSTP_0000083700.1	SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001	300177;301598;302889	301535;301732;303623	-;-;-	2229	6547	6831	6930	9195	7984	8594	10814	11286	9588	10250	8058	9415	6304	6513	6844	3031	3195	3401	5502	5407	5699
SSTP_0000083800.1	SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001	308201;309185;311314;311568;313076;313420;314057;315325;316457;316824;317090	308392;309391;311514;311687;313315;313569;314284;315608;316737;317047;317182	-;-;-;-;-;-;-;-;-;-;-	2220	1612	1784	1712	5435	5032	5145	6628	4863	4708	7117	5335	5866	3749	3859	3888	1255	1428	1305	665	722	721
SSTP_0000083900.1	SSTP_scaffold0000001	321506	322834	-	1329	604	590	566	6372	6162	6786	3298	7346	6381	452	457	600	384	598	618	100	98	100	38	42	46
SSTP_0000084000.1	SSTP_scaffold0000001;SSTP_scaffold0000001	325119;327061	326820;327101	-;-	1743	15813	13980	13335	13565	12734	13694	1406	5020	4262	9225	10484	10213	27861	22384	19178	11996	11590	12382	12324	12677	13943
SSTP_0000084100.1	SSTP_scaffold0000001	327730	328113	+	384	15	20	24	3	1	4	2	1	4	3	1	2	10	2	1	16	11	13	17	16	17
SSTP_0000084200.1	SSTP_scaffold0000001;SSTP_scaffold0000001	328440;328745	328695;329559	+;+	1071	2482	2208	2331	1818	1770	1819	430	825	802	1085	1382	1478	1849	1633	1665	1337	1092	1375	2108	2083	2265
SSTP_0000084300.1	SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001	329768;330938;333167	330885;331067;333169	-;-;-	1251	13659	13024	11591	21699	17552	19813	20348	9004	8763	18723	17784	20049	11898	9183	10221	8757	8750	9929	8441	8299	8816
SSTP_0000084400.1	SSTP_scaffold0000001	333976	334719	-	744	56	33	35	142	104	146	336	262	334	164	170	179	210	80	118	616	473	290	50	56	73
SSTP_0000084500.1	SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001	335135;335192;336100;336716;337100;337245	335141;335942;336224;336735;337197;338217	-;-;-;-;-;-	1974	18512	17459	16877	32260	29582	31094	30860	26011	28759	27673	27640	28934	21898	21212	21500	12720	13275	14342	15210	15552	17379
SSTP_0000084600.1	SSTP_scaffold0000001	338358	338978	-	621	1610	1229	1256	1287	1048	1041	571	1101	888	631	941	872	1057	1018	1024	571	536	515	1709	1740	1693
SSTP_0000084700.1	SSTP_scaffold0000001;SSTP_scaffold0000001;SSTP_scaffold0000001	341454;341621;341754	341564;341701;344738	+;+;+	3177	7660	7686	8511	3869	3825	3636	2821	4322	3807	4232	3715	3510	3569	2648	3272	3433	2291	3422	5424	5365	5612
SSTP_0000084800.1	SSTP_scaffold0000001;SSTP_scaffold0000001	344801;344955	344908;345092	-;-	246	0	1	0	126	104	91	1	1	2	6	5	10	2	2	8	32	24	17	0	0	0
SSTP_0000084900.1	SSTP_scaffold0000001;SSTP_scaffold0000001	345308;346384	346342;346449	-;-	1101	24	28	45	97	57	73	1897	145	109	2747	668	1430	392	2557	2430	797	1415	424	35	27	28
